,Cuckoo Search,Fruit Fly,Whale Optimization Algorithm,Water Wave Optimization,Krill Herd
32,-1.0313874212127963,-0.8575552775960142,-1.0312757642781396,-1.0174584679228986,-1.0238149911891428
33,-1.03138908542163,-0.869487636372171,-1.0312765929314631,-1.0174669085575163,-1.0282838591673238
34,-1.031514560301295,-0.8544351087367563,-1.0313542847285224,-1.0186465879588027,-1.0292687199263197
35,-1.0315211499820018,-0.8544614855592826,-1.0313809292954594,-1.0186465879588027,-1.0297907067696737
36,-1.031531196484639,-0.8382221204410444,-1.0313823657562478,-1.0186760748065367,-1.0304876815464454
37,-1.0315405129106265,-0.8585436718498183,-1.0314026844481503,-1.0186760748065367,-1.0308673437493074
38,-1.031541187193003,-0.8782788362020535,-1.0314654418822449,-1.0207562139737802,-1.0309350010577387
39,-1.0315417109296985,-0.8519254172743309,-1.0314669237581524,-1.0212590982134178,-1.0309350010577387
40,-1.0315528698700704,-0.8442230118310814,-1.0314855791924487,-1.0217369688329503,-1.0309479952258327
41,-1.0315550142558432,-0.8765428209482682,-1.031488458291303,-1.022470106094172,-1.0309619746184988
42,-1.0315560844800942,-0.8654098309255186,-1.0314939771882716,-1.0224702448250105,-1.031233707964382
43,-1.0315669091164779,-0.8836072103127,-1.0315100264920327,-1.0227251252826006,-1.0312343241048259
44,-1.031572379256213,-0.8549557144997733,-1.0315249243542826,-1.0240008135787375,-1.0312717277632424
45,-1.0315741287603886,-0.8718065028140851,-1.0315304569504047,-1.0240050757719215,-1.0312717277632424
46,-1.0315741287603886,-0.8694618576230552,-1.031530458212287,-1.0240050757719215,-1.0314702367242305
47,-1.0315801845379253,-0.8522484114775783,-1.0315413726019742,-1.0240968827009378,-1.031521038749688
48,-1.0315836756507926,-0.8637160991023073,-1.0315417974522276,-1.0268538571282713,-1.031521038749688
49,-1.0315854463052445,-0.8204196847365406,-1.0315439203689236,-1.0268936503872412,-1.031528853871796
50,-1.0315939492014055,-0.8754430506001141,-1.0315524645997518,-1.026919850163995,-1.0315353056884677
51,-1.0316037720209,-0.8644210160108268,-1.03155265040893,-1.0271351010370162,-1.031557187422987
52,-1.0316059021597508,-0.8668053366714068,-1.0315581416701618,-1.0271351010370162,-1.031558623900993
