,0,1,2,3,4,5,6,7,8,9
22,5.618753240455021e-10,5.132388958273282e-10,6.454628498353543e-10,5.384312440348538e-10,5.743736042340686e-10,6.699219512462662e-10,5.943304182132181e-10,6.26823426497225e-10,6.017095155463892e-10,6.438365396377321e-10
23,5.1811671619717e-10,4.649776674803263e-10,6.169862953875338e-10,4.932453334660636e-10,5.246989509544164e-10,6.160322807424734e-10,5.498388411240285e-10,5.832659355498038e-10,5.493568933090387e-10,5.96394267304845e-10
24,4.790620677930235e-10,4.347166515650258e-10,5.487656440372746e-10,4.583993185036661e-10,5.060927232847234e-10,5.638120526008095e-10,5.093293564684132e-10,5.36938493667094e-10,5.182270168546665e-10,5.406546876862706e-10
25,4.55171955682232e-10,4.0709574600228393e-10,5.033602978876672e-10,4.407428311203887e-10,4.5760162326047293e-10,5.190495810936113e-10,4.629875927086857e-10,4.931951513853505e-10,4.723498259195935e-10,4.964086364189768e-10
26,4.320436786109383e-10,3.794227154685359e-10,4.669892805786446e-10,4.121111785160281e-10,4.2162562330361197e-10,4.790937646603766e-10,4.2649617171264254e-10,4.5915932167517326e-10,4.48494519300624e-10,4.707867429232238e-10
27,3.973972817483684e-10,3.6063457775625807e-10,4.3784553760417566e-10,3.846192253575964e-10,3.962409844682213e-10,4.5421977290516224e-10,3.989288344108388e-10,4.2387260368315083e-10,4.17939571839554e-10,4.411544463067685e-10
28,3.817418603446754e-10,3.363042622162027e-10,4.0080766483541197e-10,3.6356051502650644e-10,3.710849960647522e-10,4.152455601591498e-10,3.796976066894331e-10,3.832157369210165e-10,3.969916617663216e-10,4.067063907875479e-10
29,3.6055980423554956e-10,3.226430789204926e-10,3.7745329084515333e-10,3.3964964174515444e-10,3.5096503481213404e-10,3.8927022716350734e-10,3.600343911891457e-10,3.585774455139301e-10,3.81278009164987e-10,3.8138397995268747e-10
30,3.410713933504894e-10,3.050880104105147e-10,3.588972452561734e-10,3.230307688006917e-10,3.2624491996813276e-10,3.628596867422118e-10,3.406561699392796e-10,3.3429897738912473e-10,3.4902880585718776e-10,3.6207409292998705e-10
31,3.235598455830768e-10,2.8039776056587584e-10,3.3489588879831445e-10,3.014555827185461e-10,3.0313196397457887e-10,3.386855795817212e-10,3.223338818081345e-10,3.1457342286600465e-10,3.267007220308926e-10,3.281752092298973e-10
32,2.928912667954364e-10,2.6855206947118404e-10,3.097324063894291e-10,2.909753549218408e-10,2.874805393737745e-10,3.17001758176616e-10,3.013591598488574e-10,2.999516746093889e-10,3.0374619486295273e-10,2.967838197420747e-10
33,2.8721974798529004e-10,2.5629631750234694e-10,2.9944141610727115e-10,2.7229180021848265e-10,2.776091578837736e-10,2.949055999401651e-10,2.8975288834942603e-10,2.7967939075779213e-10,2.86242529679015e-10,2.811444410610875e-10
34,2.722041481106885e-10,2.4448354452033527e-10,2.782255537070455e-10,2.6070429148816743e-10,2.607705162915863e-10,2.784711350400926e-10,2.67613986526527e-10,2.611464378077244e-10,2.734556470151972e-10,2.6660412766332797e-10
35,2.5956065075050105e-10,2.3442209284851856e-10,2.640173635271026e-10,2.487998140843217e-10,2.4826457556414994e-10,2.6818963716479516e-10,2.568267265523616e-10,2.483577787870672e-10,2.59373411637398e-10,2.5604540709878165e-10
36,2.4447427415807965e-10,2.254445519156434e-10,2.519329744821164e-10,2.379022534526598e-10,2.371508545095935e-10,2.524399023151602e-10,2.4061430625721414e-10,2.359507034199737e-10,2.489585204656919e-10,2.413236832587984e-10
37,2.3196311538242753e-10,2.1339396916175701e-10,2.3475849042498e-10,2.29122831818529e-10,2.2374285757464918e-10,2.427737455512613e-10,2.286502653880973e-10,2.2502427698967153e-10,2.346833838373641e-10,2.3059654186141643e-10
38,2.201967497228452e-10,1.9962498321035582e-10,2.2370510999181192e-10,2.1753071566266158e-10,2.113960673177928e-10,2.2503354735192715e-10,2.1731116905954195e-10,2.128114351407362e-10,2.229714191059884e-10,2.2114554631968986e-10
39,2.126073761488101e-10,1.8639112475682396e-10,2.1242230197060508e-10,2.066389281907277e-10,1.9870488587869772e-10,2.163348389316866e-10,2.0655621657539314e-10,2.0148477331005665e-10,2.1032492414363446e-10,2.1276180817153545e-10
40,2.0168788861241183e-10,1.8019674641323036e-10,2.0360801933350103e-10,1.9696244635269977e-10,1.9140028451047897e-10,2.032151114050862e-10,1.9668416895157748e-10,1.901565016559914e-10,2.0362422858966056e-10,2.065652093818926e-10
41,1.9481088964212745e-10,1.7420709319537764e-10,1.9307933030177082e-10,1.864253196259824e-10,1.805653404574059e-10,1.9387674798920784e-10,1.8702228654632336e-10,1.8219015185394483e-10,1.9079604562932673e-10,2.008879729231694e-10
42,1.8479179297870019e-10,1.6689183368612248e-10,1.84963377947156e-10,1.8065615670082025e-10,1.7155055154205456e-10,1.8495044384891912e-10,1.7738044366666372e-10,1.7330187285224952e-10,1.8228629716787736e-10,1.925822279424949e-10
43,1.7745005465030772e-10,1.614357536539046e-10,1.7848211797399927e-10,1.7451173839333478e-10,1.6490031562454988e-10,1.7655038542230272e-10,1.6979340156098033e-10,1.6572287986349465e-10,1.7263862561733845e-10,1.8700824222506185e-10
44,1.718152287111252e-10,1.5458168078907875e-10,1.7440299204807275e-10,1.6757928378297038e-10,1.558817519509148e-10,1.695198426077127e-10,1.6246193279556564e-10,1.596734966469171e-10,1.6738577190977821e-10,1.754416611987608e-10
45,1.637516788832727e-10,1.4700174411075295e-10,1.6300877314634477e-10,1.6205792263690455e-10,1.4896417432908038e-10,1.6231316291026587e-10,1.5627860117106707e-10,1.5123535757055606e-10,1.615534928056661e-10,1.7131918106372268e-10
46,1.5789441976110652e-10,1.3899509321291248e-10,1.5553602850104653e-10,1.564295915024161e-10,1.4187451213842905e-10,1.565855223262247e-10,1.4822948424253468e-10,1.429543705633307e-10,1.5440299039326533e-10,1.6686740877958073e-10
47,1.4988549290606556e-10,1.3495188300183258e-10,1.4901863076843824e-10,1.4990902963418762e-10,1.3688272737510943e-10,1.4821882610149828e-10,1.4301493322932401e-10,1.374627078831736e-10,1.4815382254340648e-10,1.585003239767957e-10
48,1.4325746144905338e-10,1.3078071958716464e-10,1.401104232634509e-10,1.458924092645475e-10,1.314262032536817e-10,1.4252715674345495e-10,1.390821346980431e-10,1.3335205162334773e-10,1.4260026492962652e-10,1.4896550659670993e-10
49,1.3869155823797996e-10,1.2559842055281933e-10,1.3664847031691352e-10,1.4071122045322682e-10,1.287266404581544e-10,1.4101408929434456e-10,1.3159590084299566e-10,1.2957529493817788e-10,1.3622425409920424e-10,1.4443801710228854e-10
50,1.3396223019768172e-10,1.226458934411312e-10,1.2913736746611448e-10,1.3486900485304432e-10,1.2474354882385796e-10,1.3416556754464182e-10,1.264051641136632e-10,1.2512924030261274e-10,1.30680466448041e-10,1.3848661106763416e-10
51,1.3031759005244226e-10,1.1899881080523755e-10,1.252193904122123e-10,1.3058287784417644e-10,1.2041745378610358e-10,1.2943296434642093e-10,1.2313045028022884e-10,1.2056339260269056e-10,1.2737222387926295e-10,1.339277577727671e-10
52,1.2425710460561845e-10,1.1431788848881297e-10,1.211610811679975e-10,1.262350224351394e-10,1.1672529609541016e-10,1.2345546807068786e-10,1.1918072084782239e-10,1.1598610960561473e-10,1.2184642184109862e-10,1.293434248594849e-10
53,1.2018569472971308e-10,1.0997003307977593e-10,1.1640399755208364e-10,1.2143019922916665e-10,1.1263057153598766e-10,1.1797035570637604e-10,1.1592826698603176e-10,1.1252754283930244e-10,1.1644385455866768e-10,1.2446510488928197e-10
54,1.1629297524962112e-10,1.0750134116221943e-10,1.1116174647440857e-10,1.1489253992635895e-10,1.0861822552499234e-10,1.1236789276836134e-10,1.1241590991417638e-10,1.0829143137769393e-10,1.1197809346441545e-10,1.207938193914515e-10
55,1.1267786703683669e-10,1.0520539994729461e-10,1.0714806819578371e-10,1.1046608072717845e-10,1.0536954642148544e-10,1.0869372069066685e-10,1.07906183988149e-10,1.0485684542871354e-10,1.084899392544969e-10,1.192510534764324e-10
56,1.1087597506787006e-10,1.0099410197028647e-10,1.0312550813296184e-10,1.0714540366052461e-10,1.0222578339380561e-10,1.0574985331857079e-10,1.0393291782762049e-10,1.0025180685602209e-10,1.0405126760204553e-10,1.152344886179435e-10
57,1.0669248817762877e-10,9.786815802215187e-11,1.0079759249492781e-10,1.0340706069200678e-10,9.90907356168691e-11,1.0068790246009485e-10,9.99314520022665e-11,9.680189982930187e-11,1.0248102366716694e-10,1.1036038749523414e-10
58,1.0224732172048334e-10,9.451461835396913e-11,9.646905496651925e-11,1.0062972677360449e-10,9.60933554949861e-11,9.769518527491527e-11,9.649087084895314e-11,9.355916041897672e-11,9.893319496967479e-11,1.0756417978541322e-10
59,9.938672107523416e-11,9.168710235485378e-11,9.401257550223363e-11,9.685940938197746e-11,9.275469281533333e-11,9.329048644701743e-11,9.288436686460955e-11,9.12818709508656e-11,9.563028147141495e-11,1.0437672948171439e-10
60,9.575562565089513e-11,8.836575915438516e-11,9.154987878901011e-11,9.401746048354198e-11,9.067413486718578e-11,8.921552385743325e-11,8.927281136550391e-11,8.785150384937879e-11,9.19521125908318e-11,1.0099920899619974e-10
61,9.286393876095644e-11,8.61644089411584e-11,8.905298720662813e-11,9.014189394918048e-11,8.866729572787335e-11,8.5096374391469e-11,8.761724679118288e-11,8.457612388212965e-11,8.91385298906755e-11,9.740253048562408e-11
62,8.990408417730578e-11,8.288147945734181e-11,8.731548817308976e-11,8.858580535786587e-11,8.63631388625663e-11,8.318878919055805e-11,8.52586889976692e-11,8.181522126449181e-11,8.544459584314268e-11,9.273004586418665e-11
63,8.751688262975676e-11,7.960299086562372e-11,8.539591256351287e-11,8.599254641694642e-11,8.417222474577102e-11,8.078981927894802e-11,8.326117573176361e-11,7.935563317573724e-11,8.295281128667398e-11,9.031619896404663e-11
64,8.447775812214786e-11,7.635270193873112e-11,8.222400538215879e-11,8.413980623345196e-11,8.096301407078954e-11,7.851763683675017e-11,8.060196954318144e-11,7.73061614722792e-11,7.995321071874173e-11,8.665890227632644e-11
65,8.129563688896724e-11,7.487788167281906e-11,8.004974461073289e-11,8.251133110093178e-11,7.869838114515915e-11,7.695799553175675e-11,7.812706037668704e-11,7.509637356406529e-11,7.758360620613303e-11,8.328604472751522e-11
66,7.863509843275551e-11,7.255707146214263e-11,7.73150432564762e-11,7.987366323902734e-11,7.582512395742924e-11,7.461098405769917e-11,7.603873086736712e-11,7.285705372339635e-11,7.47163442227361e-11,8.109202198625098e-11
67,7.623346398588637e-11,7.064104856624454e-11,7.544875835208131e-11,7.750422525987233e-11,7.435629889585016e-11,7.280265279518972e-11,7.340972274505475e-11,7.059353102079058e-11,7.246081512590763e-11,7.843725668976731e-11
68,7.392797485294977e-11,6.799627527698249e-11,7.310307914565328e-11,7.524092460187148e-11,7.189804307472514e-11,7.070521945706787e-11,7.176059746427654e-11,6.906319960364726e-11,7.08933467485906e-11,7.618483621740779e-11
69,7.176526040097997e-11,6.617462133817753e-11,7.087241904457642e-11,7.340617003137595e-11,6.991451861892983e-11,6.970535260109045e-11,7.055578343795332e-11,6.709433009177701e-11,6.87297441182011e-11,7.345590802287916e-11
70,6.926814677399307e-11,6.390599160965849e-11,6.853562162234539e-11,7.074940633344795e-11,6.749956149576519e-11,6.773359650935618e-11,6.906875071877039e-11,6.574074618015402e-11,6.625416881789192e-11,7.227263232323367e-11
